control_id,group,ctrl_message,mcu_message
fader1,strip,cc=70,pb=ch1
fader1_touch,strip,note=110,note=104
vpot1_rotate,strip,cc=80,cc=16
vpot1_push,strip,note=0,note=32
rec1,strip,note=8,note=0
solo1,strip,note=16,note=8
mute1,strip,note=24,note=16
select1,strip,note=32,note=24
fader2,strip,cc=71,pb=ch2
fader2_touch,strip,note=111,note=105
vpot2_rotate,strip,cc=81,cc=17
vpot2_push,strip,note=1,note=33
rec2,strip,note=9,note=1
solo2,strip,note=17,note=9
mute2,strip,note=25,note=17
select2,strip,note=33,note=25
fader3,strip,cc=72,pb=ch3
fader3_touch,strip,note=112,note=106
vpot3_rotate,strip,cc=82,cc=18
vpot3_push,strip,note=2,note=34
rec3,strip,note=10,note=2
solo3,strip,note=18,note=10
mute3,strip,note=26,note=18
select3,strip,note=34,note=26
fader4,strip,cc=73,pb=ch4
fader4_touch,strip,note=113,note=107
vpot4_rotate,strip,cc=83,cc=19
vpot4_push,strip,note=3,note=35
rec4,strip,note=11,note=3
solo4,strip,note=19,note=11
mute4,strip,note=27,note=19
select4,strip,note=35,note=27
fader5,strip,cc=74,pb=ch5
fader5_touch,strip,note=114,note=108
vpot5_rotate,strip,cc=84,cc=20
vpot5_push,strip,note=4,note=36
rec5,strip,note=12,note=4
solo5,strip,note=20,note=12
mute5,strip,note=28,note=20
select5,strip,note=36,note=28
fader6,strip,cc=75,pb=ch6
fader6_touch,strip,note=115,note=109
vpot6_rotate,strip,cc=85,cc=21
vpot6_push,strip,note=5,note=37
rec6,strip,note=13,note=5
solo6,strip,note=21,note=13
mute6,strip,note=29,note=21
select6,strip,note=37,note=29
fader7,strip,cc=76,pb=ch7
fader7_touch,strip,note=116,note=110
vpot7_rotate,strip,cc=86,cc=22
vpot7_push,strip,note=6,note=38
rec7,strip,note=14,note=6
solo7,strip,note=22,note=14
mute7,strip,note=30,note=22
select7,strip,note=38,note=30
fader8,strip,cc=77,pb=ch8
fader8_touch,strip,note=117,note=111
vpot8_rotate,strip,cc=87,cc=23
vpot8_push,strip,note=7,note=39
rec8,strip,note=15,note=7
solo8,strip,note=23,note=15
mute8,strip,note=31,note=23
select8,strip,note=39,note=31
fader_master,master,cc=78,pb=ch9
fader_master_touch,master,note=118,note=112
assign_track,assign,note=40,note=40
assign_send,assign,note=41,note=41
assign_pan,assign,note=42,note=42
assign_plugin,assign,note=43,note=43
assign_eq,assign,note=44,note=44
assign_instr,assign,note=45,note=45
bank_left,nav,note=92,note=46
bank_right,nav,note=93,note=47
channel_left,nav,note=94,note=48
channel_right,nav,note=95,note=49
flip,nav,note=57,note=50
global_view,nav,note=66,note=51
name_value,nav,note=46,note=52
smpte_beats,nav,note=47,note=53
f1,function,note=58,note=54
f2,function,note=59,note=55
f3,function,note=60,note=56
f4,function,note=61,note=57
f5,function,note=62,note=58
f6,function,note=63,note=59
f7,function,note=64,note=60
f8,function,note=65,note=61
view_midi,view,note=49,note=62
view_inputs,view,note=50,note=63
view_audio,view,note=51,note=64
view_instr,view,note=52,note=65
view_aux,view,note=53,note=66
view_busses,view,note=54,note=67
view_outputs,view,note=55,note=68
view_user,view,note=56,note=69
mod_shift,modifier,note=66,note=70
mod_option,modifier,note=67,note=71
mod_control,modifier,note=73,note=72
mod_cmd_alt,modifier,note=74,note=73
auto_read_off,automation,note=68,note=74
auto_write,automation,note=69,note=75
auto_trim,automation,note=70,note=76
auto_touch,automation,note=75,note=77
auto_latch,automation,note=76,note=78
group,automation,note=77,note=79
save,utility,note=71,note=80
undo,utility,note=72,note=81
cancel,utility,note=78,note=82
enter,utility,note=79,note=83
marker,utility,note=80,note=84
nudge,utility,note=81,note=85
cycle,utility,note=82,note=86
drop,utility,note=83,note=87
replace,utility,note=84,note=88
click,utility,note=85,note=89
transport_solo,utility,note=86,note=90
rewind,transport,note=87,note=91
fast_forward,transport,note=88,note=92
stop,transport,note=89,note=93
play,transport,note=90,note=94
record,transport,note=91,note=95
cursor_up,nav,note=96,note=96
cursor_down,nav,note=97,note=97
cursor_left,nav,note=98,note=98
cursor_right,nav,note=99,note=99
zoom,nav,note=100,note=100
scrub,nav,note=101,note=101
jog_wheel,jog,cc=88,cc=60